Rongviriyapanish S.; Karunlanchakorn N.; Meananeatra P.,"Rongviriyapanish, Songsakdi (46161612500); Karunlanchakorn, Nopphawit (57095019800); Meananeatra, Panita (46161484600)",Automatic code locations identification for replacing temporary variable with query method,2015,10.1109/ECTICon.2015.7207086,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84956970597&doi=10.1109%2fECTICon.2015.7207086&partnerID=40&md5=b797016d93debc5bc201dea5fbbd9452
AlOmar E.A.; Ivanov A.; Kurbatova Z.; Golubev Y.; Mkaouer M.W.; Ouni A.; Bryksin T.; Nguyen L.; Kini A.; Thakur A.,"AlOmar, Eman Abdullah (57211323794); Ivanov, Anton (57407150100); Kurbatova, Zarina (57219490618); Golubev, Yaroslav (57214675419); Mkaouer, Mohamed Wiem (55904259300); Ouni, Ali (50761492200); Bryksin, Timofey (55916625600); Nguyen, Le (57656560100); Kini, Amit (57852035300); Thakur, Aditya (35114147700)",Just-in-time code duplicates extraction,2023,10.1016/j.infsof.2023.107169,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85147970363&doi=10.1016%2fj.infsof.2023.107169&partnerID=40&md5=082f59fe9492a375060069c5fa64b411
Silva D.; Terra R.; Valente M.T.,"Silva, Danilo (56712316800); Terra, Ricardo (36865399300); Valente, Marco Tulio (55437198000)",Recommending automated extract method refactorings,2014,10.1145/2597008.2597141,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84942510325&doi=10.1145%2f2597008.2597141&partnerID=40&md5=c867427cb0634c36940102b17c000499
Traini L.; Di Pompeo D.; Tucci M.; Lin B.; Scalabrino S.; Bavota G.; Lanza M.; Oliveto R.; Cortellessa V.,"Traini, Luca (57201399696); Di Pompeo, Daniele (57188727238); Tucci, Michele (55317706000); Lin, Bin (57195074521); Scalabrino, Simone (57190400149); Bavota, Gabriele (57220148228); Lanza, Michele (56760055000); Oliveto, Rocco (15136561900); Cortellessa, Vittorio (6603764364)",How Software Refactoring Impacts Execution Time,2022,10.1145/3485136,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85130721100&doi=10.1145%2f3485136&partnerID=40&md5=f9a34a6c34f1e01727e0e5282eebc127
Xu S.; Guo C.; Liu L.; Xu J.,"Xu, Sihan (57118556200); Guo, Chenkai (35731095300); Liu, Lei (57120245800); Xu, Jing (35778130600)",A log-linear probabilistic model for prioritizing extract method refactorings,2018,10.1109/CompComm.2017.8322986,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85049694111&doi=10.1109%2fCompComm.2017.8322986&partnerID=40&md5=7c68d08da88cd2b5f35fad3bef08d35a
Terra R.; Valente M.T.; Anquetil N.,"Terra, Ricardo (36865399300); Valente, Marco Tulio (55437198000); Anquetil, Nicolas (55975024000)",A lightweight remodularization process based on structural similarity,2016,10.1109/SBCARS.2016.24,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85011256436&doi=10.1109%2fSBCARS.2016.24&partnerID=40&md5=e39d982669064d0a2e6e69429a92c46c
Kanemitsu T.; Higo Y.; Kusumoto S.,"Kanemitsu, Tomoko (42061591000); Higo, Yoshiki (7004831134); Kusumoto, Shinji (7102741360)",A Visualization method of program dependency graph for identifying extract method opportunity,2011,10.1145/1984732.1984735,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84876173021&doi=10.1145%2f1984732.1984735&partnerID=40&md5=4d9e0e1b0f425e4b55e53bd8749522e3
Fernandes S.,"Fernandes, Sara (35329707600)",Towards a Live Environment for Code Refactoring,2022,10.1145/3551349.3559569,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85146968305&doi=10.1145%2f3551349.3559569&partnerID=40&md5=587b7ba46589a9557de3d78c16a2ee2f
Murphy-Hill E.; Black A.P.,"Murphy-Hill, Emerson (16307910100); Black, Andrew P. (7201755270)",Breaking the barriers to successful refactoring: Observations and tools for extract method,2008,10.1145/1368088.1368146,https://www.scopus.com/inward/record.uri?eid=2-s2.0-50549094883&doi=10.1145%2f1368088.1368146&partnerID=40&md5=16587c9b50eec976b120d5bc34a6ae2c
Freese T.,"Freese, Tammo (22733951000)",Inline method considered helpful: An approach to interface evolution,2003,10.1007/3-540-44870-5_33,https://www.scopus.com/inward/record.uri?eid=2-s2.0-34247169103&doi=10.1007%2f3-540-44870-5_33&partnerID=40&md5=26def188821a39d2c6b83a2416ab3b94
